record_id,area_id,age_years,sex,hispanic_origin,response_group,target_category
R-01,AREA-13,59,female,not_hispanic,AIAN+API,AIAN
R-02,AREA-14,54,female,not_hispanic,AIAN+API,API
R-03,AREA-15,14,male,not_hispanic,AIAN+BLACK,AIAN
R-04,AREA-16,2,male,not_hispanic,AIAN+BLACK,BLACK
R-05,AREA-17,8,female,hispanic,AIAN+WHITE,AIAN
R-06,AREA-01,14,female,not_hispanic,AIAN+WHITE,WHITE
R-07,AREA-02,21,female,not_hispanic,API+BLACK,API
R-08,AREA-03,27,male,not_hispanic,API+BLACK,BLACK
R-09,AREA-02,70,female,not_hispanic,API+WHITE,API
R-10,AREA-04,32,female,not_hispanic,API+WHITE,API
R-11,AREA-02,6,male,hispanic,API+WHITE,WHITE
R-12,AREA-05,39,female,hispanic,API+WHITE,WHITE
R-13,AREA-06,23,female,not_hispanic,BLACK+WHITE,BLACK
R-14,AREA-07,52,female,not_hispanic,BLACK+WHITE,WHITE
R-15,AREA-08,14,male,not_hispanic,AIAN+API+BLACK,AIAN
R-16,AREA-09,59,male,not_hispanic,AIAN+API+BLACK,API
R-17,AREA-10,44,female,not_hispanic,AIAN+API+BLACK,BLACK
R-18,AREA-11,80,male,not_hispanic,AIAN+API+WHITE,AIAN
R-19,AREA-12,19,male,not_hispanic,AIAN+API+WHITE,API
R-20,AREA-13,15,female,not_hispanic,AIAN+API+WHITE,WHITE
R-21,AREA-14,13,female,not_hispanic,AIAN+BLACK+WHITE,AIAN
R-22,AREA-15,21,female,hispanic,AIAN+BLACK+WHITE,BLACK
R-23,AREA-16,26,female,not_hispanic,AIAN+BLACK+WHITE,WHITE
R-24,AREA-17,11,female,not_hispanic,API+BLACK+WHITE,API
R-25,AREA-01,14,female,not_hispanic,API+BLACK+WHITE,BLACK
R-26,AREA-02,39,male,hispanic,API+BLACK+WHITE,WHITE
R-27,AREA-03,25,male,hispanic,AIAN+API+BLACK+WHITE,AIAN
R-28,AREA-04,58,male,not_hispanic,AIAN+API+BLACK+WHITE,API
R-29,AREA-12,54,male,not_hispanic,AIAN+API+BLACK+WHITE,BLACK
R-30,AREA-02,30,male,not_hispanic,AIAN+API+BLACK+WHITE,WHITE
R-31,AREA-06,72,male,not_hispanic,AIAN+API+BLACK+WHITE,WHITE
