line_id,reporting_period,scope,category_level_1,category_level_2,category_level_3,column_text,unit,quantity,description
biogas-chp-2024,CY2024,Scope 1,Bioenergy,Biogas,Biogas,,tonnes,1873.2,"Biogas from the on-site digester burned in the CHP engine"
board-purchased-2024,CY2024,Scope 3,Material use,Paper,Paper and board: board,Primary material production,tonnes,341.6,"Cardboard packaging board purchased, primary material production basis"
diesel-fleet-2024,CY2024,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,litres,87641,"Diesel drawn by the van fleet (forecourt average biofuel blend)"
elec-grid-2024,CY2024,Scope 2,UK electricity,Electricity generated,Electricity: UK,,kWh,2148317,"Grid electricity purchased in the United Kingdom, generation emissions"
elec-td-2024,CY2024,Scope 3,Transmission and distribution,T&D- UK electricity,Electricity: UK,,kWh,2148317,"Transmission and distribution losses on the purchased UK grid electricity"
food-compost-2024,CY2024,Scope 3,Waste disposal,Refuse,Organic: food and drink waste,Composting,tonnes,57.2,"Segregated food waste sent to composting"
gas-energy-2024,CY2024,Scope 1,Fuels,Gaseous fuels,Natural gas,,kWh (Gross CV),1834672,"Natural gas at the depot, billed in kWh on a gross calorific value basis"
gas-volume-2024,CY2024,Scope 1,Fuels,Gaseous fuels,Natural gas,,cubic metres,214377,"Natural gas burned in site boilers, metered volume"
insulation-landfill-2024,CY2024,Scope 3,Waste disposal,Construction,Insulation,Landfill,tonnes,18.7,"Insulation off-cuts from refurbishment works sent to landfill"
pellets-boiler-2024,CY2024,Scope 1,Bioenergy,Biomass,Wood pellets,,tonnes,823.4,"Wood pellets burned in the biomass boiler (combustion emissions basis)"
petrol-fleet-2024,CY2024,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,litres,46319,"Unleaded petrol drawn by the pool-car fleet (forecourt average biofuel blend)"
plastic-landfill-2024,CY2024,Scope 3,Waste disposal,Plastic,Plastics: average plastics,Landfill,tonnes,41.3,"Mixed plastics sent to landfill"
plastic-recycling-2024,CY2024,Scope 3,Waste disposal,Plastic,Plastics: average plastics,Closed-loop,tonnes,96.7,"Mixed plastics collected for closed-loop recycling"
straw-boiler-2024,CY2024,Scope 1,Bioenergy,Biomass,Grass/straw,,tonnes,214.9,"Baled straw burned in the biomass boiler (combustion emissions basis)"
water-supply-2024,CY2024,Scope 3,Water supply,Water supply,Water supply,,cubic metres,68411,"Mains water supplied across the estate"
water-treatment-2024,CY2024,Scope 3,Water treatment,Water treatment,Water treatment,,cubic metres,61573,"Trade effluent and sewage sent to treatment"
wtt-gas-2024,CY2024,Scope 3,WTT- fuels,Gaseous fuels,Natural gas,,cubic metres,214377,"Well-to-tank (upstream) emissions of the natural gas burned in site boilers"
biogas-chp-2025,CY2025,Scope 1,Bioenergy,Biogas,Biogas,,tonnes,1794.8,"Biogas from the on-site digester burned in the CHP engine"
board-purchased-2025,CY2025,Scope 3,Material use,Paper,Paper and board: board,Primary material production,tonnes,317.9,"Cardboard packaging board purchased, primary material production basis"
diesel-fleet-2025,CY2025,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,litres,79807,"Diesel drawn by the van fleet (forecourt average biofuel blend)"
elec-grid-2025,CY2025,Scope 2,UK electricity,Electricity generated,Electricity: UK,,kWh,2079653,"Grid electricity purchased in the United Kingdom, generation emissions"
elec-td-2025,CY2025,Scope 3,Transmission and distribution,T&D- UK electricity,Electricity: UK,,kWh,2079653,"Transmission and distribution losses on the purchased UK grid electricity"
food-compost-2025,CY2025,Scope 3,Waste disposal,Refuse,Organic: food and drink waste,Composting,tonnes,52.8,"Segregated food waste sent to composting"
gas-energy-2025,CY2025,Scope 1,Fuels,Gaseous fuels,Natural gas,,kWh (Gross CV),1743917,"Natural gas at the depot, billed in kWh on a gross calorific value basis"
gas-volume-2025,CY2025,Scope 1,Fuels,Gaseous fuels,Natural gas,,cubic metres,198613,"Natural gas burned in site boilers, metered volume"
insulation-landfill-2025,CY2025,Scope 3,Waste disposal,Construction,Insulation,Landfill,tonnes,22.4,"Insulation off-cuts from refurbishment works sent to landfill"
pellets-boiler-2025,CY2025,Scope 1,Bioenergy,Biomass,Wood pellets,,tonnes,791.6,"Wood pellets burned in the biomass boiler (combustion emissions basis)"
petrol-fleet-2025,CY2025,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,litres,41287,"Unleaded petrol drawn by the pool-car fleet (forecourt average biofuel blend)"
plastic-landfill-2025,CY2025,Scope 3,Waste disposal,Plastic,Plastics: average plastics,Landfill,tonnes,37.6,"Mixed plastics sent to landfill"
plastic-recycling-2025,CY2025,Scope 3,Waste disposal,Plastic,Plastics: average plastics,Closed-loop,tonnes,88.2,"Mixed plastics collected for closed-loop recycling"
straw-boiler-2025,CY2025,Scope 1,Bioenergy,Biomass,Grass/straw,,tonnes,226.3,"Baled straw burned in the biomass boiler (combustion emissions basis)"
water-supply-2025,CY2025,Scope 3,Water supply,Water supply,Water supply,,cubic metres,63237,"Mains water supplied across the estate"
water-treatment-2025,CY2025,Scope 3,Water treatment,Water treatment,Water treatment,,cubic metres,56919,"Trade effluent and sewage sent to treatment"
wtt-gas-2025,CY2025,Scope 3,WTT- fuels,Gaseous fuels,Natural gas,,cubic metres,198613,"Well-to-tank (upstream) emissions of the natural gas burned in site boilers"
