station_label,sv_label,epoch_utc,range_l1_m,range_l2_m,elevation_deg
RX-1,SV-K,2026-05-14T02:00:00Z,20688221.802,20688225.216,65.362
RX-1,SV-K,2026-05-14T02:01:00Z,20695001.024,20695004.370,65.176
RX-1,SV-K,2026-05-14T02:02:00Z,20701830.545,20701833.630,64.989
RX-1,SV-K,2026-05-14T02:03:00Z,20708710.696,20708714.010,64.802
RX-1,SV-K,2026-05-14T02:04:00Z,20715641.684,20715644.701,64.616
RX-1,SV-K,2026-05-14T02:05:00Z,20722623.057,20722626.239,64.429
RX-1,SV-K,2026-05-14T02:06:00Z,20729655.081,20729657.851,64.243
RX-1,SV-K,2026-05-14T02:07:00Z,20736737.467,20736740.533,64.056
RX-1,SV-K,2026-05-14T02:08:00Z,20743870.660,20743873.423,63.870
RX-1,SV-K,2026-05-14T02:09:00Z,20751054.158,20751057.159,63.683
RX-1,SV-K,2026-05-14T02:10:00Z,20758288.330,20758291.346,63.497
RX-1,SV-K,2026-05-14T02:11:00Z,20765572.650,20765576.128,63.310
RX-1,SV-K,2026-05-14T02:12:00Z,20772907.941,20772911.081,63.123
RX-1,SV-K,2026-05-14T02:13:00Z,20780293.250,20780296.545,62.937
RX-1,SV-K,2026-05-14T02:14:00Z,20787729.223,20787732.402,62.750
RX-1,SV-K,2026-05-14T02:15:00Z,20795215.755,20795218.838,62.564
RX-1,SV-K,2026-05-14T02:16:00Z,20802752.641,20802755.653,62.377
RX-1,SV-K,2026-05-14T02:17:00Z,20810339.569,20810343.058,62.191
RX-1,SV-K,2026-05-14T02:18:00Z,20817976.962,20817980.396,62.004
RX-1,SV-K,2026-05-14T02:19:00Z,20825665.158,20825668.737,61.818
RX-1,SV-K,2026-05-14T02:20:00Z,20833403.177,20833406.628,61.631
RX-1,SV-K,2026-05-14T02:21:00Z,20841192.090,20841195.192,61.444
RX-1,SV-K,2026-05-14T02:22:00Z,20849030.995,20849034.150,61.258
RX-1,SV-K,2026-05-14T02:23:00Z,20856920.196,20856923.489,61.071
RX-1,SV-K,2026-05-14T02:24:00Z,20864859.713,20864862.857,60.885
RX-1,SV-K,2026-05-14T02:25:00Z,20872849.318,20872852.783,60.698
RX-1,SV-K,2026-05-14T02:26:00Z,20880889.497,20880892.551,60.512
RX-1,SV-K,2026-05-14T02:27:00Z,20888979.460,20888982.915,60.325
RX-1,SV-K,2026-05-14T02:28:00Z,20897119.917,20897123.325,60.139
RX-1,SV-K,2026-05-14T02:29:00Z,20905310.619,20905313.763,59.952
RX-1,SV-K,2026-05-14T02:30:00Z,20913551.314,20913554.529,59.765
RX-1,SV-K,2026-05-14T02:31:00Z,20921842.093,20921845.507,59.579
RX-1,SV-K,2026-05-14T02:32:00Z,20930182.989,20930186.095,59.392
RX-1,SV-K,2026-05-14T02:33:00Z,20938574.125,20938577.329,59.206
RX-1,SV-K,2026-05-14T02:34:00Z,20947014.869,20947018.521,59.019
RX-1,SV-K,2026-05-14T02:35:00Z,20955506.239,20955509.438,58.833
RX-1,SV-K,2026-05-14T02:36:00Z,20964047.565,20964050.974,58.646
RX-1,SV-K,2026-05-14T02:37:00Z,20972638.565,20972642.392,58.460
RX-1,SV-K,2026-05-14T02:38:00Z,20981279.993,20981283.235,58.273
RX-1,SV-K,2026-05-14T02:39:00Z,20989970.915,20989974.360,58.086
RX-1,SV-K,2026-05-14T02:40:00Z,20998712.053,20998715.708,57.900
RX-1,SV-K,2026-05-14T02:41:00Z,21007503.005,21007506.585,57.713
RX-1,SV-K,2026-05-14T02:42:00Z,21016344.179,21016347.500,57.527
RX-1,SV-K,2026-05-14T02:43:00Z,21025234.718,21025238.293,57.340
RX-1,SV-K,2026-05-14T02:44:00Z,21034175.500,21034179.090,57.154
RX-1,SV-K,2026-05-14T02:45:00Z,21043165.851,21043169.359,56.967
RX-1,SV-K,2026-05-14T02:46:00Z,21052206.086,21052209.741,56.781
RX-1,SV-K,2026-05-14T02:47:00Z,21061296.049,21061299.549,56.594
RX-1,SV-K,2026-05-14T02:48:00Z,21070435.971,21070439.414,56.407
RX-1,SV-K,2026-05-14T02:49:00Z,21079625.593,21079629.011,56.221
RX-1,SV-K,2026-05-14T02:50:00Z,21088864.668,21088868.223,56.034
RX-1,SV-K,2026-05-14T02:51:00Z,21098153.523,21098156.939,55.848
RX-1,SV-K,2026-05-14T02:52:00Z,21107492.012,21107495.776,55.661
RX-1,SV-K,2026-05-14T02:53:00Z,21116880.204,21116883.677,55.475
RX-1,SV-K,2026-05-14T02:54:00Z,21126317.937,21126321.492,55.288
RX-1,SV-K,2026-05-14T02:55:00Z,21135805.224,21135808.900,55.102
RX-1,SV-K,2026-05-14T02:56:00Z,21145341.911,21145345.600,54.915
RX-1,SV-K,2026-05-14T02:57:00Z,21154928.679,21154931.978,54.728
