pairing_id,report_local,release_local,segments,scheduled_flight_time,pilots_assigned,onboard_rest_facility,acclimated,rest_opportunity_start,rest_opportunity_end,rest_opportunity_accommodation,rest_opportunity_after_first_segment,rest_before_duty,longest_free_period_prior_7d,prior_fdp_rolling_7d,prior_fdp_rolling_28d,prior_flight_rolling_28d
P01,05:34,16:41,5,08:15,2,none,yes,,,none,,11:20,41:00,40:23,150:03,69:05
P02,04:22,13:40,7,06:05,2,none,yes,,,none,,10:40,33:10,44:22,160:02,80:00
P03,13:12,01:05,3,08:35,2,none,yes,,,none,,12:00,36:00,42:17,145:37,78:20
P04,04:48,13:30,7,05:50,2,none,no,,,none,,11:25,32:00,40:03,150:03,60:00
P05,20:10,10:01,3,07:15,2,none,yes,23:20,02:45,suitable,yes,11:45,38:00,43:04,155:04,85:00
P06,19:55,08:17,2,08:10,2,none,yes,02:30,05:40,suitable,yes,10:30,34:00,41:03,148:03,76:00
P07,21:40,09:21,4,07:30,2,none,yes,23:50,02:35,suitable,yes,11:00,37:00,39:04,143:04,74:00
P08,06:44,18:11,5,07:55,2,none,no,,,none,,10:15,30:30,43:33,155:03,83:00
P09,23:40,08:31,4,07:22,2,none,yes,01:10,04:20,flight_deck_seat,yes,12:35,39:05,40:49,148:09,77:28
P10,12:36,01:02,6,07:50,2,none,yes,,,none,,10:50,30:55,44:04,158:04,81:55
P11,07:41,00:00,3,13:24,3,class_2,yes,,,none,,12:30,45:05,35:01,139:51,81:06
P12,17:26,09:42,2,15:20,4,class_1,no,,,none,,09:41,55:00,30:54,120:54,70:00
P13,13:50,04:29,2,11:40,3,class_2,yes,,,none,,12:30,44:00,31:01,129:01,88:09
P14,09:20,03:42,3,16:05,4,class_1,yes,,,none,,11:10,33:20,41:20,144:08,75:05
P15,21:15,12:01,2,12:00,3,class_1,yes,,,none,,10:30,35:00,38:04,175:20,84:00
P16,06:12,23:07,3,14:30,4,class_2,yes,,,none,,10:50,29:17,39:35,153:35,75:15
P17,08:05,22:56,2,13:14,3,class_3,yes,,,none,,10:40,31:00,35:04,144:04,75:06
