fips,region,urbanisation,pct_aian_alone,pct_api_alone,pct_black_alone,pct_white_alone,pct_multiple_response,census2000_population
01001,south,medium_small_metro,0.45,0.5,17.17,81.07,0.8,43671
01003,south,nonmetro,0.59,0.42,10.34,87.82,0.83,140415
01005,south,nonmetro,0.45,0.34,46.37,52.24,0.59,29038
01007,south,large_fringe,0.24,0.09,22.2,77.03,0.44,20826
01009,south,large_fringe,0.53,0.19,1.2,97.33,0.75,51024
01011,south,nonmetro,0.38,0.2,73.22,25.62,0.59,11714
01013,south,nonmetro,0.21,0.18,40.83,58.44,0.34,21399
01015,south,medium_small_metro,0.4,0.67,18.61,79.52,0.8,112249
01017,south,nonmetro,0.14,0.19,38.15,61.03,0.49,36583
01019,south,nonmetro,0.31,0.15,5.55,93.25,0.73,23988
01021,south,large_fringe,0.28,0.22,10.62,88.32,0.55,39593
01023,south,nonmetro,0.16,0.04,44.22,55.19,0.38,15922
01025,south,nonmetro,0.22,0.17,43.13,56.06,0.42,27867
01027,south,nonmetro,0.32,0.12,15.71,83.16,0.7,14254
01029,south,nonmetro,0.3,0.16,3.71,95.17,0.65,14123
01031,south,nonmetro,0.92,1.11,18.5,78.09,1.38,43615
01033,south,medium_small_metro,0.37,0.27,16.68,81.9,0.78,54984
01035,south,nonmetro,0.23,0.16,43.57,55.48,0.57,14089
01037,south,nonmetro,0.32,0.06,34.29,64.73,0.61,12202
01039,south,nonmetro,0.49,0.19,12.36,86.41,0.54,37631
01041,south,nonmetro,0.41,0.12,24.83,74.03,0.61,13665
01043,south,nonmetro,0.43,0.22,0.96,97.59,0.79,77483
01045,south,nonmetro,0.61,1.32,20.56,75.8,1.7,49129
01047,south,nonmetro,0.12,0.36,63.32,35.78,0.41,46365
01049,south,nonmetro,0.86,0.26,1.7,95.99,1.19,64452
01051,south,medium_small_metro,0.44,0.4,20.69,77.54,0.92,65874
01053,south,nonmetro,3.03,0.28,30.86,64.86,0.97,38440
01055,south,medium_small_metro,0.34,0.49,14.76,83.67,0.75,103459
01057,south,nonmetro,0.21,0.17,11.97,87.26,0.39,18495
01059,south,nonmetro,0.33,0.29,4.3,94.45,0.62,31223
01061,south,medium_small_metro,0.76,0.16,10.7,87.77,0.61,25764
01063,south,medium_small_metro,0.12,0.1,80.44,19.13,0.21,9974
01065,south,medium_small_metro,0.17,0.18,58.98,40.2,0.46,17185
01067,south,medium_small_metro,0.21,0.09,32.4,66.68,0.63,16310
01069,south,medium_small_metro,0.38,0.66,24.68,73.54,0.74,88787
01071,south,nonmetro,1.77,0.27,3.76,92.34,1.87,53926
01073,south,large_central,0.22,0.96,39.45,58.76,0.6,662047
01075,south,nonmetro,0.14,0.07,12.0,87.36,0.43,15904
01077,south,medium_small_metro,0.26,0.38,9.87,88.84,0.65,87966
01079,south,medium_small_metro,5.38,0.11,13.38,78.13,3.01,34803
01081,south,medium_small_metro,0.25,1.69,22.72,74.59,0.75,115092
01083,south,medium_small_metro,0.49,0.39,13.36,84.99,0.76,65676
01085,south,medium_small_metro,0.11,0.14,73.4,25.96,0.39,13473
01087,south,nonmetro,0.16,0.42,84.77,14.02,0.63,24105
01089,south,medium_small_metro,0.78,1.97,22.92,72.75,1.57,276700
01091,south,nonmetro,0.08,0.2,51.73,47.56,0.43,22539
01093,south,nonmetro,0.31,0.24,3.64,95.23,0.58,31214
01095,south,nonmetro,0.55,0.33,1.48,96.8,0.83,82231
01097,south,medium_small_metro,0.68,1.47,33.47,63.57,0.81,399843
01099,south,nonmetro,1.0,0.31,40.11,57.92,0.66,24324
01101,south,medium_small_metro,0.26,1.05,48.7,49.23,0.75,223510
01103,south,medium_small_metro,0.72,0.55,11.3,86.45,0.98,111064
01105,south,nonmetro,0.08,0.06,68.4,30.96,0.5,11861
01107,south,nonmetro,0.12,0.14,43.0,56.16,0.58,20949
01109,south,nonmetro,0.66,0.4,36.67,61.12,1.16,29605
01111,south,nonmetro,0.2,0.24,22.28,76.78,0.5,22380
01113,south,medium_small_metro,0.37,0.49,40.99,57.31,0.84,49756
01115,south,large_fringe,0.38,0.21,8.14,90.51,0.77,64742
01117,south,large_fringe,0.34,1.08,7.42,90.6,0.57,143293
01119,south,nonmetro,0.09,0.11,73.21,26.13,0.45,14798
01121,south,nonmetro,0.23,0.24,31.6,67.34,0.59,80321
01123,south,nonmetro,0.27,0.22,25.42,73.65,0.44,41475
01125,south,medium_small_metro,0.23,0.98,29.36,68.78,0.65,164875
01127,south,large_fringe,0.29,0.23,6.18,92.74,0.56,70713
01129,south,nonmetro,7.16,0.1,26.89,65.03,0.82,18097
01131,south,nonmetro,0.14,0.14,71.92,27.61,0.18,13183
01133,south,nonmetro,0.47,0.17,0.39,98.31,0.66,24843
02013,west,nonmetro,37.37,27.18,1.82,31.44,2.19,2697
02016,west,nonmetro,21.04,25.53,3.18,47.7,2.54,5465
02020,west,medium_small_metro,7.4,6.8,6.16,74.73,4.91,260283
02050,west,nonmetro,82.1,1.11,0.39,12.81,3.59,16006
02060,west,nonmetro,43.72,1.35,0.56,52.86,1.51,1258
02068,west,nonmetro,4.75,2.01,1.43,87.43,4.38,1893
02070,west,nonmetro,70.72,0.71,0.37,22.33,5.87,4922
02090,west,medium_small_metro,6.99,2.54,6.09,79.81,4.57,82840
02100,west,nonmetro,11.5,0.79,0.25,83.07,4.39,2392
02110,west,nonmetro,11.49,5.23,0.85,76.16,6.26,30711
02122,west,nonmetro,7.53,1.22,0.47,87.45,3.33,49691
02130,west,nonmetro,15.03,4.51,0.54,75.01,4.9,14070
02150,west,nonmetro,14.72,17.34,0.98,62.92,4.04,13913
02164,west,nonmetro,73.51,0.6,0.05,19.47,6.36,1823
02170,west,medium_small_metro,5.55,0.9,0.73,88.84,3.98,59322
02180,west,nonmetro,75.35,0.7,0.39,19.6,3.97,9196
02185,west,nonmetro,68.65,6.87,0.76,17.64,6.08,7385
02188,west,nonmetro,82.7,0.96,0.21,12.65,3.48,7208
02201,west,nonmetro,38.84,0.44,0.15,53.71,6.87,6146
02220,west,nonmetro,18.75,4.37,0.34,69.68,6.86,8835
02232,west,nonmetro,35.19,0.52,0.15,59.31,4.83,3436
02240,west,nonmetro,12.8,0.86,2.02,80.3,4.02,6174
02261,west,nonmetro,13.34,3.97,0.32,77.36,5.0,10195
02270,west,nonmetro,92.62,0.14,0.06,4.8,2.39,7028
02280,west,nonmetro,16.14,1.86,0.22,74.51,7.27,6684
02282,west,nonmetro,39.73,1.98,0.12,50.37,7.8,808
02290,west,nonmetro,71.03,0.43,0.09,24.71,3.74,6551
04001,west,nonmetro,77.1,0.21,0.26,21.59,0.83,69423
04003,west,nonmetro,1.3,2.09,4.77,89.78,2.07,117755
04005,west,medium_small_metro,28.73,0.94,1.1,67.72,1.5,116320
04007,west,nonmetro,13.1,0.53,0.44,85.01,0.92,51335
04009,west,nonmetro,15.17,0.74,2.02,81.3,0.76,33489
04011,west,nonmetro,1.83,0.36,0.61,96.14,1.06,8547
04012,west,nonmetro,13.24,0.55,0.91,83.8,1.5,19715
04013,west,large_central,2.05,2.5,3.95,90.17,1.33,3072149
04015,west,nonmetro,2.51,0.96,0.57,94.71,1.24,155032
04017,west,nonmetro,47.95,0.41,0.92,49.51,1.21,97470
04019,west,medium_small_metro,3.47,2.36,3.26,89.39,1.53,843746
04021,west,large_fringe,8.13,0.86,2.96,86.96,1.1,179727
04023,west,nonmetro,0.79,0.74,0.45,97.61,0.41,38381
04025,west,medium_small_metro,1.66,0.64,0.43,96.02,1.25,167517
04027,west,medium_small_metro,1.84,1.32,2.5,93.27,1.06,160026
05001,south,nonmetro,0.22,0.36,23.41,75.4,0.61,20749
05003,south,nonmetro,0.23,0.26,27.22,71.72,0.56,24209
05005,south,nonmetro,0.52,0.37,0.11,98.1,0.89,38386
05007,south,medium_small_metro,1.68,1.26,0.47,95.24,1.35,153406
05009,south,nonmetro,0.71,0.35,0.12,98.05,0.77,33948
05011,south,nonmetro,0.24,0.13,28.76,70.38,0.48,12600
05013,south,nonmetro,0.21,0.03,23.43,75.52,0.8,5744
05015,south,nonmetro,0.88,0.51,0.12,97.36,1.13,25357
05017,south,nonmetro,0.13,0.46,54.15,44.56,0.7,14117
