covariate,AIAN,API,BLACK
indicator_not_aian,0.0,2.78725,2.19772
indicator_not_api,2.83058,0.0,3.06153
indicator_not_black,0.9701,1.6157,0.0
age_per_10_years,-0.03967,0.01946,-0.01691
hispanic_origin,0.84013,0.21507,-0.58721
sex_male,0.01914,0.01283,-0.08093
region_northeast,0.59649,-0.13221,0.40115
region_midwest,0.43237,-0.15172,0.20136
region_south,-0.22255,-0.24854,-0.29365
urban_large_fringe,0.15744,0.46028,0.1207
urban_medium_small_metro,-0.17318,-0.09493,-0.11129
urban_nonmetro,0.25013,-0.15342,-0.12077
pct_aian_in_area,0.56512,0.06996,-0.00347
pct_api_in_area,0.04203,0.03741,0.05396
pct_black_in_area,0.03921,0.0359,0.05893
pct_multiple_in_area,-0.09723,0.06402,-0.03953
constant,-5.29417,-5.73987,-5.21431
