area_id,region,urbanisation,pct_aian_alone,pct_api_alone,pct_black_alone,pct_white_alone,pct_multiple_response
AREA-01,west,nonmetro,2.51,0.96,0.57,94.71,1.24
AREA-02,west,large_central,1.06,12.77,10.28,74.23,1.65
AREA-03,west,large_fringe,1.43,5.43,9.55,81.44,2.15
AREA-04,northeast,medium_small_metro,0.24,3.48,10.74,84.58,0.97
AREA-05,northeast,nonmetro,0.19,1.23,1.18,96.62,0.79
AREA-06,south,nonmetro,0.66,0.82,15.23,82.41,0.88
AREA-07,south,large_fringe,0.27,2.48,21.87,74.31,1.07
AREA-08,midwest,large_central,0.36,5.1,26.48,67.12,0.95
AREA-09,northeast,large_fringe,0.18,6.49,3.77,88.52,1.05
AREA-10,midwest,medium_small_metro,0.56,1.98,9.29,86.75,1.43
AREA-11,midwest,large_fringe,0.29,4.23,10.22,84.06,1.2
AREA-12,northeast,large_central,0.53,8.1,39.36,50.7,1.31
AREA-13,south,nonmetro,0.39,0.95,9.21,88.81,0.64
AREA-14,midwest,nonmetro,0.19,0.26,2.23,96.65,0.67
AREA-15,south,medium_small_metro,0.98,1.25,3.33,93.68,0.76
AREA-16,south,large_central,0.56,5.46,18.84,74.23,0.92
AREA-17,west,medium_small_metro,0.96,4.0,1.18,92.55,1.32
